,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
0,2022,4,Buenos Aires,4788466,6199.0,4794665
1,2022,4,Capital Federal,1549781,2145.0,1551926
2,2022,4,Catamarca,70908,1.0,70909
3,2022,4,Chaco,143658,5.0,143663
4,2022,4,Chubut,167855,904.0,168759
5,2022,4,Córdoba,1049592,68.0,1049660
6,2022,4,Corrientes,155449,4.0,155453
7,2022,4,Entre Ríos,270952,22.0,270974
8,2022,4,Formosa,61840,0.0,61840
9,2022,4,Jujuy,118218,0.0,118218
10,2022,4,La Pampa,113993,171.0,114164
11,2022,4,La Rioja,86258,4.0,86262
12,2022,4,Mendoza,291327,777.0,292104
13,2022,4,Misiones,186269,0.0,186269
14,2022,4,Neuquén,159712,468.0,160180
15,2022,4,Río Negro,161544,548.0,162092
16,2022,4,Salta,205855,5.0,205860
17,2022,4,San Juan,103545,281.0,103826
18,2022,4,San Luis,135028,192.0,135220
19,2022,4,Santa Cruz,50005,198.0,50203
20,2022,4,Santa Fe,887581,110.0,887691
21,2022,4,Santiago Del Estero,119492,2.0,119494
22,2022,4,Tierra Del Fuego,54948,312.0,55260
23,2022,4,Tucumán,263392,30.0,263422
24,2022,3,Buenos Aires,4715469,6199.0,4721668
25,2022,3,Capital Federal,1545534,2145.0,1547679
26,2022,3,Catamarca,70292,1.0,70293
27,2022,3,Chaco,144141,5.0,144146
28,2022,3,Chubut,164874,904.0,165778
29,2022,3,Córdoba,1038600,68.0,1038668
30,2022,3,Corrientes,144842,4.0,144846
31,2022,3,Entre Ríos,268937,22.0,268959
32,2022,3,Formosa,68537,1.0,68538
33,2022,3,Jujuy,118823,0.0,118823
34,2022,3,La Pampa,115921,171.0,116092
35,2022,3,La Rioja,86860,4.0,86864
36,2022,3,Mendoza,288746,777.0,289523
37,2022,3,Misiones,182157,0.0,182157
38,2022,3,Neuquén,162693,468.0,163161
39,2022,3,Río Negro,160010,548.0,160558
40,2022,3,Salta,204536,5.0,204541
41,2022,3,San Juan,103118,281.0,103399
42,2022,3,San Luis,121888,182.0,122070
43,2022,3,Santa Cruz,49312,198.0,49510
44,2022,3,Santa Fe,887700,110.0,887810
45,2022,3,Santiago Del Estero,119030,2.0,119032
46,2022,3,Tierra Del Fuego,53584,312.0,53896
47,2022,3,Tucumán,263087,30.0,263117
48,2022,2,Buenos Aires,4660984,6199.0,4667183
49,2022,2,Capital Federal,1534626,2145.0,1536771
50,2022,2,Catamarca,67007,1.0,67008
51,2022,2,Chaco,143559,5.0,143564
52,2022,2,Chubut,161901,904.0,162805
53,2022,2,Córdoba,1026367,68.0,1026435
54,2022,2,Corrientes,144993,4.0,144997
55,2022,2,Entre Ríos,269330,22.0,269352
56,2022,2,Formosa,67881,0.0,67881
57,2022,2,Jujuy,115314,0.0,115314
58,2022,2,La Pampa,111356,171.0,111527
59,2022,2,La Rioja,86026,4.0,86030
60,2022,2,Mendoza,278785,777.0,279562
61,2022,2,Misiones,178813,0.0,178813
62,2022,2,Neuquén,161500,468.0,161968
63,2022,2,Río Negro,159216,548.0,159764
64,2022,2,Salta,203172,5.0,203177
65,2022,2,San Juan,100126,281.0,100407
66,2022,2,San Luis,121559,182.0,121741
67,2022,2,Santa Cruz,48987,198.0,49185
68,2022,2,Santa Fe,878749,110.0,878859
69,2022,2,Santiago Del Estero,118042,2.0,118044
70,2022,2,Tierra Del Fuego,53458,312.0,53770
71,2022,2,Tucumán,254497,30.0,254527
72,2022,1,Buenos Aires,4549131,6293.0,4555424
73,2022,1,Capital Federal,1415378,2163.0,1417541
74,2022,1,Catamarca,62377,1.0,62378
75,2022,1,Chaco,144114,5.0,144119
76,2022,1,Chubut,170701,927.0,171628
77,2022,1,Córdoba,1003729,74.0,1003803
78,2022,1,Corrientes,142574,4.0,142578
79,2022,1,Entre Ríos,267904,22.0,267926
80,2022,1,Formosa,54548,0.0,54548
81,2022,1,Jujuy,116509,0.0,116509
